Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan sanctioned
F,39.0,0.0,Low,Working,Laborers,Semi-Urban,76608.52,330.47,5.0,691.95,1,Active,Semi-Urban,1,132943.84,True
M,46.0,3419.09,Low,State servant,Not available,Semi-Urban,230665.075,920.3712499999999,4.0,736.53,0,Inactive,Rural,1,344891.6775,True
F,55.0,1696.23,Low,Commercial associate,Secretaries,Semi-Urban,22755.74,251.63,1.0,700.24,0,Active,Rural,1,37183.66,True
F,48.0,2945.96,Low,Working,High skill tech staff,Semi-Urban,36791.93,400.97,4.0,778.76,0,Unpossessed,Semi-Urban,1,53812.78,True
M,42.0,2391.86,Low,Working,Laborers,Semi-Urban,152625.54,409.44,3.0,769.59,0,Inactive,Rural,1,210073.26,True
F,48.0,1233.47,Low,Working,Waiters/barmen staff,Semi-Urban,22295.94,146.17,2.0,651.57,0,Unpossessed,Urban,1,41471.67,True
M,38.0,2197.27,Low,Working,Cooking staff,Semi-Urban,160565.92,529.46,4.0,744.95,0,Inactive,Rural,1,270412.7,True
F,56.0,0.0,Low,Working,Sales staff,Semi-Urban,67337.75,260.84,0.0,700.43,1,Unpossessed,Semi-Urban,1,125405.08,True
F,19.0,0.0,Low,State servant,Core staff,Semi-Urban,42338.29,195.52,2.0,687.58,0,Inactive,Rural,1,57072.2,True
M,63.0,3540.16,Low,Working,Laborers,Semi-Urban,100895.2,338.19,2.0,694.9,0,Unpossessed,Semi-Urban,1,138844.83,True
F,50.0,1725.71,Low,Commercial associate,High skill tech staff,Semi-Urban,30809.75,175.24,1.0,660.32,1,Inactive,Rural,1,49504.48,True
F,53.0,0.0,Low,State servant,Laborers,Semi-Urban,16118.71,101.92,0.0,772.18,0,Inactive,Urban,1,26426.04,True
F,43.0,5167.51125,Low,Working,Managers,Rural,146503.51,495.03,3.0,764.83,0,Unpossessed,Semi-Urban,1,198275.8,True
F,47.0,1474.94,Low,Working,Accountants,Semi-Urban,61561.27,229.97,4.0,771.35,0,Inactive,Rural,1,82387.26,True
M,52.0,3504.03,Low,Working,Core staff,Semi-Urban,217462.06,568.52,2.0,870.8,0,Unpossessed,Rural,1,269663.35,True
F,57.0,0.0,Low,Working,Sales staff,Rural,106920.26,474.59,3.0,740.04,0,Unpossessed,Urban,1,195663.83,True
M,50.0,0.0,Low,Commercial associate,Secretaries,Semi-Urban,129898.43,379.41,1.0,740.04,0,Unpossessed,Semi-Urban,1,225740.25,True
F,63.0,518.15,High,Pensioner,Retired,Semi-Urban,14424.08,154.49,2.0,875.44,0,Unpossessed,Semi-Urban,1,22224.07,True
F,50.0,2349.8,Low,Working,Core staff,Semi-Urban,123319.93,631.81,0.0,757.67,0,Inactive,Urban,1,181027.79,True
F,35.0,0.0,Low,Commercial associate,Sales staff,Urban,85230.44,486.34,1.0,687.91,1,Inactive,Rural,1,125024.36,True
M,32.0,2339.39,Low,Commercial associate,Not available,Semi-Urban,139682.8,424.03,2.0,815.08,0,Inactive,Urban,1,189791.85,True
F,43.0,2417.66,Low,Working,Sales staff,Semi-Urban,121581.45,665.21,2.0,784.99,0,Active,Rural,1,189330.75,True
