Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan sanctioned
F,29.0,1515.29,Low,Working,Laborers,Semi-Urban,37683.89,282.2,3.0,700.33,0,Inactive,Urban,1,44241.0,True
M,20.0,3366.9,Low,Working,Laborers,Semi-Urban,120370.82,665.35,4.0,705.32,1,Inactive,Semi-Urban,1,194302.22,True
M,18.0,2198.1,Low,State servant,Not available,Semi-Urban,89019.09,701.93,3.0,720.64,0,Unpossessed,Rural,1,125326.9,True
M,64.0,2869.92,High,Pensioner,Retired,Semi-Urban,141024.57,585.87,1.0,843.78,0,Active,Urban,1,170611.94,True
M,51.0,0.0,Low,Working,Not available,Semi-Urban,73311.17,445.65,0.0,799.84,0,Active,Rural,1,106856.2,True
M,18.0,3217.08,Low,Working,Managers,Semi-Urban,63331.04,314.26,1.0,757.5,0,Inactive,Rural,1,76676.98,True
M,21.0,1591.52,Low,Working,Managers,Semi-Urban,73312.86,796.46,2.0,702.82,1,Active,Rural,1,121149.05,True
M,24.0,5137.077499999999,Low,Commercial associate,Private service staff,Urban,173181.6,912.1887499999999,3.0,731.65,0,Active,Urban,1,327102.93,True
M,55.0,5137.077499999999,Low,Working,Managers,Urban,160874.59,702.24,2.0,811.07,0,Inactive,Rural,1,293670.78,True
F,61.0,0.0,High,Pensioner,Retired,Semi-Urban,104198.76,302.55,2.0,829.55,0,Inactive,Urban,0,183233.95,True
M,45.0,2024.09,Low,Working,Not available,Semi-Urban,34460.47,225.89,1.0,807.72,0,Active,Urban,1,40278.4,True
M,21.0,2113.97,Low,Commercial associate,Accountants,Semi-Urban,163936.73,498.11,2.0,819.97,1,Unpossessed,Semi-Urban,1,201517.6,True
M,43.0,1737.34,Low,Working,Not available,Semi-Urban,60840.69,344.38,1.0,767.48,0,Active,Semi-Urban,1,102139.41,True
M,27.0,3001.35,Low,Working,Private service staff,Semi-Urban,48170.37,513.03,3.0,683.13,0,Inactive,Semi-Urban,1,69102.21,True
