Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD),Loan sanctioned
F,56.0,1933.05,Low,Working,Sales staff,Semi-Urban,72809.58,241.08,3.0,809.44,0,Active,Rural,1,119933.46,54607.18,True
M,32.0,4952.91,Low,Working,Not available,Semi-Urban,46837.47,495.81,1.0,780.4,0,Unpossessed,Rural,1,54791.0,37469.98,True
F,65.0,988.19,High,Pensioner,Retired,Semi-Urban,45593.04,171.95,1.0,833.15,0,Unpossessed,Urban,0,72440.58,36474.43,True
F,65.0,0.0,High,Pensioner,Retired,Rural,80057.92,298.54,2.0,832.7,1,Unpossessed,Semi-Urban,1,121441.51,56040.54,True
F,31.0,2614.77,Low,Working,High skill tech staff,Semi-Urban,113858.89,491.41,0.0,745.55,1,Active,Semi-Urban,1,208567.91,74008.28,True
F,60.0,1234.92,Low,State servant,Secretaries,Rural,34434.72,181.48,2.0,684.12,1,Inactive,Rural,1,43146.82,22382.57,True
F,45.0,0.0,Low,State servant,Managers,Semi-Urban,240311.77,807.64,2.0,812.26,0,Active,Urban,1,369850.44375,168218.24,True
F,38.0,1296.07,Low,Working,Cooking staff,Rural,35141.99,155.95,3.0,705.29,1,Active,Rural,1,54903.44,22842.29,True
M,18.0,2416.86,Low,State servant,Core staff,Semi-Urban,25765.72,140.02,1.0,652.41,0,Active,Rural,1,32423.71,16747.72,True
F,48.0,777.25,Low,Working,Not available,Semi-Urban,96080.6,342.33,3.0,764.11,0,Active,Semi-Urban,1,146073.26,67256.42,True
F,43.0,997.25,Low,Working,Not available,Rural,48894.06,178.06,1.0,726.28,0,Active,Rural,1,80607.4,34225.84,True
M,61.0,1664.52,Low,Working,Core staff,Semi-Urban,72448.95,398.88,2.0,781.51,0,Active,Urban,1,113464.01,54336.71,True
F,54.0,3716.54,Low,Working,Drivers,Rural,116487.58,521.23,4.0,749.33,1,Active,Urban,1,194442.39,75716.93,True
M,64.0,2346.88,Low,Working,Sales staff,Rural,89489.99,327.14,1.0,803.04,0,Active,Rural,1,148424.56,67117.49,True
M,65.0,1523.03,High,Pensioner,Retired,Semi-Urban,66567.35,299.53,3.0,862.33,0,Unpossessed,Semi-Urban,0,118617.77,46597.14,True
F,41.0,1837.17,Low,Working,Security staff,Rural,112910.57,422.61,0.0,722.74,0,Inactive,Urban,1,128407.6,73391.87,True
F,19.0,2889.94,Low,Working,Sales staff,Rural,57810.08,264.92,2.0,787.74,0,Inactive,Semi-Urban,1,80756.7,40467.06,True
F,24.0,2538.85,Low,Working,Laborers,Rural,120525.64,552.77,3.0,721.27,1,Inactive,Rural,1,170642.55,84367.95,True
F,63.0,700.07,High,Pensioner,Retired,Semi-Urban,38101.51,240.38,2.0,860.88,0,Unpossessed,Urban,1,47390.38,28576.13,True
M,29.0,3880.49,Low,Working,Core staff,Urban,234770.77,636.65,5.0,767.85,0,Active,Semi-Urban,1,326886.67,164339.54,True
F,32.0,2478.54,Low,Working,Accountants,Semi-Urban,30195.97,225.64,1.0,740.04,0,Active,Rural,1,45299.77,24156.78,True
F,18.0,0.0,Low,Working,Not available,Semi-Urban,85927.28,217.19,0.0,688.21,0,Active,Rural,1,160151.78,60149.1,True
F,28.0,2474.33,Low,Working,Laborers,Semi-Urban,17503.0,144.82,3.0,855.97,1,Unpossessed,Rural,1,32580.57,14002.4,True
F,18.0,1220.16,Low,Working,Laborers,Semi-Urban,35595.86,153.25,3.0,706.08,0,Unpossessed,Semi-Urban,1,41948.44,24917.1,True
F,61.0,5302.28,Low,Working,Accountants,Rural,186715.38,527.81,1.0,748.38,0,Active,Semi-Urban,1,270558.3,121365.0,True
F,18.0,2368.34,Low,Working,Laborers,Semi-Urban,18386.57,219.7,2.0,672.32,0,Unpossessed,Semi-Urban,1,27966.91,11951.27,True
M,18.0,5351.7775,Low,Commercial associate,Managers,Urban,121963.5,587.8,1.0,721.18,1,Unpossessed,Urban,1,142645.25,85374.45,True
M,30.0,4096.07,Low,Working,Drivers,Semi-Urban,65332.24,334.81,3.0,707.3,0,Inactive,Urban,1,122411.52,42465.96,True
F,54.0,5330.72,Low,Working,Managers,Semi-Urban,133531.81,535.77,1.0,861.21,1,Active,Urban,1,170214.99,100148.86,True
M,37.0,2680.38,Low,Commercial associate,Not available,Semi-Urban,85145.49,618.52,1.0,855.18,0,Inactive,Rural,1,104278.0,68116.39,True
M,51.0,3384.91,Low,Working,Not available,Semi-Urban,40679.95,340.44,2.0,799.57,1,Active,Semi-Urban,1,54618.45,32543.96,True
F,18.0,1694.53,Low,Commercial associate,Core staff,Rural,41837.3,286.68,3.0,747.21,1,Inactive,Urban,1,75416.35,27194.25,True
M,54.0,1871.92,Low,Working,Accountants,Semi-Urban,55863.31,318.76,0.0,797.47,0,Active,Semi-Urban,1,102110.07,44690.65,True
F,44.0,1761.15,Low,Working,Cooking staff,Semi-Urban,75574.36,355.11,1.0,755.48,0,Inactive,Rural,1,84102.27,56680.77,True
M,64.0,2478.3,Low,Working,Core staff,Semi-Urban,171270.39,560.47,3.0,733.67,0,Unpossessed,Urban,1,300043.91,111325.75,True
M,59.0,0.0,Low,Commercial associate,Not available,Semi-Urban,155502.39,502.13,0.0,855.39,1,Unpossessed,Semi-Urban,1,228079.45,116626.79,True
F,62.0,1282.74,Low,Working,Not available,Semi-Urban,71476.86,334.91,4.0,775.55,0,Active,Urban,1,85170.57,57181.49,True
F,39.0,1822.63,Low,Working,Security staff,Semi-Urban,47012.15,238.11,1.0,757.22,0,Unpossessed,Rural,1,84534.32,35259.11,True
